<DOC>	<DOC>+BDTAG
<S>	<S>+BSTAG
,	TUR10-0820240
çelik	TUR10-0157720
elektrik	TUR10-1212060
lambasını	TUR10-1212060
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Varıp	TUR10-0123610
yaslanayım	TUR10-0838980
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cisimlerin	TUR10-0141890
ağırlığı	TUR10-0012910
yer	TUR10-0048260
çekiminin	TUR10-0048260
bir	TUR10-0105580
sonucudur	TUR10-0702760
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
arz	TUR10-0048220
odasında	TUR10-0048330
biz	TUR10-0110290
kullarına	TUR10-0000760
görünmek	TUR10-0306160
acaba	TUR10-0504150
yüce	TUR10-0028300
gönlüne	TUR10-0131870
uygun	TUR10-1103140
düşer	TUR10-1103140
mi	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gerçekten	TUR10-0272990
de	TUR10-0994780
doktora	TUR10-0736370
bir	TUR10-0105570
bey	TUR10-0097260
ile	TUR10-0367380
iki	TUR10-0364800
yedili	TUR10-0845690
gelmişti	TUR10-0290380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çıplak	TUR10-0241150
ayağını	TUR10-0059060
o	TUR10-0581480
ana	TUR10-0505830
kadar	TUR10-0187930
görmediğim	TUR10-0305620
bir	TUR10-0105580
sinirlilikle	TUR10-0048550
oynatmaya	TUR10-0448830
başladı	TUR10-0082780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evde	TUR10-0053840
birilerinin	TUR10-0107000
olması	TUR10-0123800
bana	TUR10-0075770
bir	TUR10-0105580
çeşit	TUR10-0160490
güven	TUR10-0136970
hissi	TUR10-0364020
veriyor	TUR10-0515000
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Asetatlı	TUR10-0049000
kâğıt	TUR10-0398500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Otomobile	TUR10-0520720
bindik	TUR10-0105430
ve	TUR10-0816400
uzun	TUR10-0805370
bir	TUR10-0105580
asfalt	TUR10-0049060
yol	TUR10-0858630
üzerinde	TUR10-0867710
koşmaya	TUR10-0477530
koyulduk	TUR10-0479350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bugün	TUR10-0121320
son	TUR10-0701940
kuraklığın	TUR10-0491630
on	TUR10-1237480
ikinci	TUR10-1206120
yılıdır	TUR10-0854240
Hakanın	TUR10-0321300
baş	TUR10-0084050
ucunda	TUR10-0084050
bir	TUR10-0105570
kılıç	TUR10-0448060
asılıdır	TUR10-0049560
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Asıl	TUR10-0049320
sanat	TUR10-0662220
budur	TUR10-0120750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çocuk	TUR10-0171690
annesinin	TUR10-0813510
eteğine	TUR10-0257220
asıldı	TUR10-0049430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
işe	TUR10-0383990
asılmak	TUR10-0049470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hiç	TUR10-0343500
kibar	TUR10-0459930
sınıfından	TUR10-0464520
,	TUR10-0820240
asilzade	TUR10-0049780
bir	TUR10-0105580
oyuncu	TUR10-0597140
olduğunu	TUR10-0585910
gördünüz	TUR10-0305620
mü	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Metrenin	TUR10-0540160
askatları	TUR10-0050010
desimetre	TUR10-1237170
,	TUR10-0820240
santimetre	TUR10-0663930
ve	TUR10-0816400
milimetredir	TUR10-1237150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yürüyüşü	TUR10-0299070
askercedir	TUR10-0050070
,	TUR10-0820240
oturuşu	TUR10-0595110
askercedir	TUR10-0050070
,	TUR10-0820240
mendilini	TUR10-0081320
katlayıp	TUR10-0201020
cebine	TUR10-0136200
koyuşu	TUR10-0478990
bile	TUR10-0178920
askercedir	TUR10-0050070
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eskiden	TUR10-0288810
uzun	TUR10-0805370
seneler	TUR10-0676860
askerî	TUR10-0050220
rüştiyelerde	TUR10-0050220
hocalık	TUR10-0346850
etmiş	TUR10-0346860
olan	TUR10-0585910
bu	TUR10-0120750
adam	TUR10-0339670
,	TUR10-0820240
kim	TUR10-1081910
bilir	TUR10-1081910
ne	TUR10-1105700
kadar	TUR10-0395970
çocuğun	TUR10-0171720
canını	TUR10-0131390
yakmıştı	TUR10-0981600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üzüm	TUR10-0811920
askısı	TUR10-0050340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Vestiyerde	TUR10-0050510
bir	TUR10-0105570
kadın	TUR10-0086000
şapkası	TUR10-0723610
unutulmuş	TUR10-0799450
olduğunu	TUR10-0585900
görmüştüm	TUR10-0672700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
inek	TUR10-0374370
için	TUR10-1186490
oymalarımı	TUR10-0596170
bıraktım	TUR10-0100220
,	TUR10-0820240
dikiş	TUR10-0203970
makinesini	TUR10-0203970
tamir	TUR10-0587560
etmedim	TUR10-0232010
,	TUR10-0820240
mektebi	TUR10-0911400
astım	TUR10-0911400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Asmalı	TUR10-0051050
bahçe	TUR10-0071010
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
kısmı	TUR10-0616530
da	TUR10-0178920
dansı	TUR10-0642000
,	TUR10-0820240
asrilik	TUR10-0051300
gereği	TUR10-1252050
kabul	TUR10-0366460
ediyor	TUR10-0771940
,	TUR10-0820240
ileriye	TUR10-0367590
geriye	TUR10-0367590
yürüyorlardı	TUR10-0897610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Böyle	TUR10-0120050
muazzam	TUR10-0552260
bir	TUR10-0105570
prodüksiyonun	TUR10-0636050
ne	TUR10-1105700
kadar	TUR10-0395910
astronomik	TUR10-0051770
finansmana	TUR10-0274510
dayandığını	TUR10-0156370
siz	TUR10-0697860
tahmin	TUR10-0738080
edin	TUR10-0417800
artık	TUR10-0371210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başçavuş	TUR10-0051850
,	TUR10-0820240
kalabalığı	TUR10-0400860
dağıtmaya	TUR10-0117880
çalışan	TUR10-0147860
jandarmalara	TUR10-0391030
seslendi	TUR10-0681120
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aşağı	TUR10-0876580
katı	TUR10-0427040
,	TUR10-0820240
sakin	TUR10-0658530
ve	TUR10-0816400
daha	TUR10-0178860
sıcak	TUR10-0684050
olduğu	TUR10-0684050
için	TUR10-0359040
seçtik	TUR10-0672720
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
On	TUR10-1237480
sekiz	TUR10-0674070
yaşından	TUR10-0693980
aşağı	TUR10-0052080
olanlar	TUR10-0586110
giremez	TUR10-0298730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçindeki	TUR10-0358050
aşağılık	TUR10-0008620
kompleksinin	TUR10-0470750
fitilini	TUR10-0275700
tutuşturabilirim	TUR10-0827400
tipimle	TUR10-0160490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
bu	TUR10-0120750
aşçı	TUR10-0052450
kadar	TUR10-0395970
çılgın	TUR10-0164190
ve	TUR10-0816400
aksi	TUR10-0165740
insan	TUR10-0932620
görmedim	TUR10-0643060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cephesi	TUR10-0136320
kireçle	TUR10-0462290
badanalanmış	TUR10-0067310
pencere	TUR10-0622420
mavi	TUR10-0529570
aşı	TUR10-0052700
boyalı	TUR10-0052700
küçük	TUR10-0143230
bir	TUR10-0105580
köfteci	TUR10-0480180
dükkânına	TUR10-0517440
girdiler	TUR10-0298730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Üçüncü	TUR10-0806010
kategoride	TUR10-0467660
,	TUR10-0820240
vatandaşlık	TUR10-0815620
bilinci	TUR10-0103710
aşılamaya	TUR10-1157610
çalışan	TUR10-0147850
yazılar	TUR10-0844140
toplanıyordu	TUR10-0968180
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aşılama	TUR10-0053030
su	TUR10-0000030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Erkekler	TUR10-0251130
günlerce	TUR10-0314950
çıkıkçıların	TUR10-0450770
,	TUR10-0820240
kırıkçıların	TUR10-0450770
kapısını	TUR10-0905970
aşındırdı	TUR10-0905970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Talihin	TUR10-0071410
aşırısı	TUR10-0053320
da	TUR10-0994780
insanı	TUR10-0932620
eninde	TUR10-0260890
sonunda	TUR10-0260890
aptallaştırdığından	TUR10-0294700
sonuç	TUR10-0702760
aynı	TUR10-0949250
kapıya	TUR10-0949250
çıkardı	TUR10-0949250
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cemiyetin	TUR10-0135520
çaldıklarına	TUR10-1242800
nazaran	TUR10-0571870
adi	TUR10-0008630
sokak	TUR10-0700130
hırsızlarının	TUR10-1231290
aşırıntıları	TUR10-0053450
adam	TUR10-0932620
sen	TUR10-0676460
de	TUR10-0994820
denecek	TUR10-1242470
bir	TUR10-0105580
hafiflikte	TUR10-0796080
kalırdı	TUR10-0405100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yangın	TUR10-0831220
büyüyünce	TUR10-0055100
eşyayı	TUR10-0256750
bostana	TUR10-0114570
aşırdılar	TUR10-0053600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tek	TUR10-0343540
bir	TUR10-0970920
yudum	TUR10-0970920
bile	TUR10-0810040
almıyordu	TUR10-0029440
bardağından	TUR10-0077380
ama	TUR10-0031730
zaten	TUR10-0252350
yeterince	TUR10-0552330
içtiği	TUR10-0359840
aşikârdı	TUR10-0053750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sanki	TUR10-0663530
herkes	TUR10-0545590
uzun	TUR10-0805370
yolculuktan	TUR10-0858910
yeni	TUR10-0848690
dönmüş	TUR10-0058070
ve	TUR10-0816400
aşinalara	TUR10-0053770
kavuşmuştu	TUR10-0431570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ana	TUR10-0813510
oğul	TUR10-0817130
,	TUR10-0820240
yeni	TUR10-0848690
kiraladıkları	TUR10-0462060
eve	TUR10-0053840
bir	TUR10-0105580
pazar	TUR10-0620160
günü	TUR10-0314950
taşındılar	TUR10-0750170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sakalı	TUR10-0657520
kır	TUR10-0449800
,	TUR10-0820240
yaşı	TUR10-0693980
elliyi	TUR10-0244120
aşkın	TUR10-0053880
fakat	TUR10-0031730
dinçti	TUR10-0206200
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Herif	TUR10-0339670
çoktan	TUR10-0606290
aşmış	TUR10-1242380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aşurelik	TUR10-0054140
buğday	TUR10-0121390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bütün	TUR10-0585370
çocuklar	TUR10-0892320
gibi	TUR10-0892320
onlar	TUR10-0588290
da	TUR10-0178920
haşarı	TUR10-0330860
,	TUR10-0820240
atak	TUR10-0040750
ve	TUR10-0816400
güreşçi	TUR10-0620970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yemeği	TUR10-0513570
ateşten	TUR10-0054720
indirdim	TUR10-0773060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendinizi	TUR10-0440770
ateşe	TUR10-0054780
atıyorsunuz	TUR10-0056990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
On	TUR10-1237480
iki	TUR10-0364800
yaşındaki	TUR10-0693980
kızı	TUR10-1231620
ateşlenip	TUR10-0055090
yatağa	TUR10-1180100
düşmüştü	TUR10-1180100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biçilmiş	TUR10-0965980
kaftan	TUR10-0965980
galiba	TUR10-0037900
bana	TUR10-0075770
ateşten	TUR10-0055280
gömlek	TUR10-0055280
olacak	TUR10-0586110
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hancı	TUR10-0325710
yüzüme	TUR10-0867380
,	TUR10-0820240
bir	TUR10-1222130
şey	TUR10-1222130
anlamamış	TUR10-0970470
gibi	TUR10-0297530
garip	TUR10-1200040
bir	TUR10-0105580
nazar	TUR10-0308140
atfetti	TUR10-0055330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fabrikanın	TUR10-1212260
atık	TUR10-0055500
suları	TUR10-0055500
arıtıldıktan	TUR10-0610980
sonra	TUR10-0565820
denize	TUR10-0193590
bırakıldı	TUR10-0822270
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Küçük	TUR10-0143230
köpek	TUR10-0386920
ince	TUR10-0372930
sevinç	TUR10-0087050
çığlıkları	TUR10-0335560
çıkarıyor	TUR10-1132810
,	TUR10-0820240
zıplıyor	TUR10-0874690
,	TUR10-0820240
havlıyor	TUR10-0809270
,	TUR10-0820240
atılıyordu	TUR10-0055690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kimi	TUR10-0087560
yayı	TUR10-0842380
öptü	TUR10-0604290
,	TUR10-0820240
kimi	TUR10-0087560
fırlattı	TUR10-0056710
En	TUR10-0246710
er	TUR10-0160340
kemankeşe	TUR10-0439740
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Besim	TUR10-0095210
,	TUR10-0820240
gidenlere	TUR10-0299000
ikram	TUR10-0712700
edilen	TUR10-1055320
çaydan	TUR10-0154910
kalma	TUR10-0252160
bisküvileri	TUR10-0108790
atıştırmakla	TUR10-0055880
meşguldü	TUR10-0538800
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Belinde	TUR10-0090070
ince	TUR10-0372880
bir	TUR10-0105580
ceylan	TUR10-0136650
postu	TUR10-0633790
,	TUR10-0820240
sırtında	TUR10-0179550
ağaç	TUR10-0010900
liflerinden	TUR10-0511150
örülmüş	TUR10-0605070
kaba	TUR10-0392390
bir	TUR10-0105580
atkı	TUR10-0056020
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Atlasam	TUR10-0056210
bir	TUR10-0105580
