<DOC>	<DOC>+BDTAG
<S>	<S>+BSTAG
Sen	TUR10-0676460
şimdi	TUR10-0241000
züppelik	TUR10-0878430
ediyorsun	TUR10-0878430
ama	TUR10-0031730
yarın	TUR10-0837670
yine	TUR10-0106250
bize	TUR10-0110290
döneceksin	TUR10-0058070
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ününün	TUR10-0733660
,	TUR10-0820240
sinemamıza	TUR10-0097750
getirdiği	TUR10-0294910
özel	TUR10-0607920
duyarlığın	TUR10-0226870
ayırdında	TUR10-0879070
bile	TUR10-0810040
değildi	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başkaldırmış	TUR10-0879180
denizle	TUR10-0193590
dövüşe	TUR10-0968480
dövüşe	TUR10-0968480
boğulanı	TUR10-0111900
gördün	TUR10-0305620
mü	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nice	TUR10-0105790
yıl	TUR10-0676860
,	TUR10-0820240
cetlerimiz	TUR10-0137230
kökleşerek	TUR10-0252420
bir	TUR10-0105590
yerde	TUR10-0024100
,	TUR10-0820240
manevi	TUR10-0649640
varlığının	TUR10-0209160
resmini	TUR10-0510390
çizmiş	TUR10-0171400
havaya	TUR10-0032500
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hercümerç	TUR10-0339450
ettiğin	TUR10-0339450
edvara	TUR10-0144540
da	TUR10-0178920
yetmez	TUR10-0185940
o	TUR10-0581470
kitap	TUR10-0463990
Seni	TUR10-0676460
ancak	TUR10-0035990
ebediyetler	TUR10-0619680
eder	TUR10-0276130
istiap	TUR10-0382210
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Piyasadaki	TUR10-0630190
parayı	TUR10-1116510
çekmek	TUR10-1116510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dayak	TUR10-0703040
çekmek	TUR10-0089100
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tartsaydınız	TUR10-0748210
kırk	TUR10-0451460
,	TUR10-0820240
kırk	TUR10-0451460
beş	TUR10-0095970
kilodan	TUR10-0460900
fazla	TUR10-0266490
çekmezdi	TUR10-0402280
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Derenin	TUR10-0195680
kış	TUR10-0454930
yaz	TUR10-0843880
kurumayan	TUR10-0495070
suları	TUR10-0000030
böğürtlen	TUR10-0118870
fidanlarını	TUR10-0272610
yükseltmiş	TUR10-0102440
,	TUR10-0820240
iki	TUR10-0364810
tarafa	TUR10-0136340
yemiş	TUR10-0848170
dolu	TUR10-0217310
bir	TUR10-0105590
koyu	TUR10-0479090
çit	TUR10-0159820
çekmiş	TUR10-0741920
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İspirto	TUR10-0381230
çekmek	TUR10-0822050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yazıyı	TUR10-0001020
temize	TUR10-1158110
çekmek	TUR10-1158110
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kuyudan	TUR10-0498850
su	TUR10-1142160
çektim	TUR10-1142150
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kahve	TUR10-0399500
çekmek	TUR10-0879780
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beni	TUR10-0092580
lokantasına	TUR10-0925490
götürdü	TUR10-0307430
,	TUR10-0820240
âlâ	TUR10-0023060
bir	TUR10-0105570
öğle	TUR10-0599200
yemeği	TUR10-0599200
çekti	TUR10-0879820
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aheste	TUR10-0015200
çek	TUR10-0879570
kürekleri	TUR10-0502960
mehtap	TUR10-0532730
uyanmasın	TUR10-0801450
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sorguya	TUR10-1139530
çekmek	TUR10-1139530
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yorganınızı	TUR10-0860000
başınıza	TUR10-0956520
çeker	TUR10-0956520
ve	TUR10-0816400
uykunuza	TUR10-0802620
devam	TUR10-0915630
edersiniz	TUR10-0019950
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kumaşı	TUR10-0490180
yıkayınca	TUR10-0862100
çekti	TUR10-0879910
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tulumba	TUR10-0787730
